metabolite,左侧值,右侧值,sample_1_对照组,sample_2_对照组,sample_3_对照组,sample_4_对照组,sample_5_对照组,sample_6_对照组,sample_7_对照组,sample_8_对照组,sample_9_对照组,sample_10_对照组,sample_11_对照组,sample_12_对照组,sample_13_对照组,sample_14_对照组,sample_15_对照组,sample_16_对照组,sample_17_对照组,sample_18_对照组,sample_19_CAC组,sample_20_CAC组,sample_21_CAC组,sample_22_CAC组,sample_23_CAC组,sample_24_CAC组,sample_25_CAC组,sample_26_CAC组,sample_27_CAC组,sample_28_CAC组,sample_29_CAC组,sample_30_CAC组,sample_31_CAC组,sample_32_CAC组,sample_33_CAC组,sample_34_CAC组,sample_35_CAC组,sample_36_CAC组,sample_37_CAC组,sample_38_CAC组,sample_39_NCAC组,sample_40_NCAC组,sample_41_NCAC组,sample_42_NCAC组,sample_43_NCAC组,sample_44_NCAC组,sample_45_NCAC组,sample_46_NCAC组,sample_47_NCAC组,sample_48_NCAC组,sample_49_NCAC组,sample_50_NCAC组,sample_51_NCAC组,sample_52_NCAC组
3-Hydroxybutyrate,1.1548,1.204,17.614631369513294,26.35028259713075,28.370257830027935,22.39365309347547,73.48793239807729,18.032578415685897,33.606110970293685,37.260205357976574,20.235467619668405,24.877788549520584,11.387926446869084,7.929150063511731,11.672525559139729,10.278197344000485,18.40957050492116,11.336207814480318,7.401184316044608,10.10613411683037,12.619559744516849,51.27889592256267,28.425662101057657,16.919514388810143,9.357433356216408,7.75771559522438,18.81752046561544,10.916035374691047,8.142268961640386,11.211646328697434,28.049896523271194,12.28473645465883,7.446306401575993,11.680627890862088,17.568436037320836,8.197902342968115,17.355325744992818,15.347750265473097,8.712864688606324,8.662580461423218,9.081504265542659,20.926553374492283,9.70588366867881,12.065807972120137,12.352872704649744,19.34934570468794,25.764134152201677,10.738455894298774,19.996043922262174,16.84712186879699,10.294756711854653,20.214695282186504,15.431145042092263,16.522414302505304
Acetate,1.8958,1.9088,4.492317844022851,5.493620861171028,9.398856622772762,7.05585609076505,13.013489987607885,4.409686402672941,7.809523097923739,7.438100222295507,5.183251287174209,4.439563258920306,3.024033921613861,2.1341177943281733,3.3603658664368083,2.3054945612444424,1.986703003417813,2.6753260329718036,2.0557105834207983,2.3187699651558806,12.863051430172533,9.730678253618864,3.492086545825201,4.650749078634811,3.6372527320792654,4.139777911498794,4.515596431137657,4.195936541871445,3.584753735878546,4.06517910979962,4.389834166801372,3.0052273968551586,1.4328034915679,2.6282238822279456,2.2508192252563175,1.6581357360070728,1.979229451922995,2.124118802612198,2.186834984177715,1.9872058869798341,1.3787148810264556,1.7470886026028833,2.5925697103792245,1.8745624058378085,1.123157996021005,2.0821885247403427,1.984637387011668,2.7113006399614563,2.1176170710035143,1.8952757604196957,1.80641929708839,1.9127254283001622,1.9201176093020251,2.013684286153607
Alanine,1.451,1.4748,3.665981211262709,4.368502713640352,5.195311620926802,4.56201154723852,4.750654858986386,4.946325735562903,3.398939768430693,3.28031048908694,4.1232313663983655,4.575822492185293,8.13897299595713,5.779065667797345,7.332818754414602,4.520093044771799,6.3667028107877535,4.658358020126047,4.710047977769487,4.473140799539567,25.525437326165562,2.8526577181048136,3.6308021893471105,7.424345883293782,4.082555235119003,7.084154145564976,4.2531240733439,2.9132273260011634,8.151980089924578,5.117129665962218,4.798929740541168,8.155227474751277,5.83942492862735,6.081117143782279,4.492754582077092,10.059740493368153,4.860952473413286,6.875178605290924,8.692877569105622,4.046962964169297,5.361515251697351,5.4660880649470585,4.757183017655143,3.5997607425957474,5.4050885736731535,4.724039079386711,5.978357140148113,4.808571306926608,5.159944574653485,5.52270528438621,4.958371976477876,8.435906691519948,6.0414137726242485,7.032828719390228
Allantoin,5.3665,5.3883,0.3345528476690375,0.30309229921642006,0.3280630199698988,0.3312921354417137,0.35337080427852424,0.2489520278248364,0.3023079301686499,0.43181021893269406,0.2757472482000207,0.2688142416411925,0.2871330575949401,0.29390044479465094,0.505827591684245,0.6221287550722581,0.5373312061449126,0.8757628179081359,0.4860879257996242,0.5238109850736626,1.2296130094886593,0.5874521025629197,0.4890181281846946,0.5007106103383386,0.6322239628864993,0.47043550470297996,0.41912009039868525,0.6113713498198144,0.302820094378726,0.6671838067967188,0.5964493017153332,0.3664519532792197,0.5206776126349157,0.497275943532521,0.5333493276426894,0.5205902673449523,0.3520302292924745,0.6614442803414534,0.5425299018168898,0.3477661769256796,0.35299006852836395,0.3878488231190246,0.2902213384094869,0.26755812460810224,0.3533862596883702,0.32407714034874613,0.28790373149365855,0.2297389914633807,0.2258794776100866,0.23341698211260364,0.4250334805886356,0.44772988004142,0.26886408153460045,0.2444479083181397
Butyrate,2.1,2.1646,5.7574100476543535,7.44185577470034,9.592521918554777,10.064032280035077,9.385887900493028,8.84615116343087,8.258555374082393,8.146189188346238,7.901465496288241,7.122636899747478,9.746331516812264,9.231784632109818,12.108229616028362,9.701686215804635,10.575268500118007,9.200762923113563,8.738554690236981,7.82066803409284,21.920564727044518,7.206527550764849,7.052276054493321,7.293664326074928,7.877353400635199,9.002382650672834,8.38001691582923,7.969947203712601,8.953694338296483,9.485016432728356,10.011783674684725,8.02310469183005,6.212759205929354,9.60744174479839,8.071454585069851,7.882352796636591,8.410525018502327,9.932242172950753,11.024320247416561,7.794664796772573,6.339373282434079,8.986049980168332,7.292573387926939,6.512921439975093,6.167674647958531,7.885569104849735,7.742751014273669,7.50707175799187,8.040955459201873,8.39670531506605,8.596855186469337,11.569490023288527,8.125512413020324,8.695913686698063
Citrate,2.5005,2.5341,2.223163549957853,1.6399577461121864,2.84136414443181,2.6076742874819856,3.3309639359848804,2.6465699810068846,3.002816114768803,2.8785395223819155,2.513971518730609,2.884330511672692,2.6910608749650775,2.019294399451055,2.709966685317208,3.563254004649072,2.674133424400069,2.6865653061513877,2.250632800895635,2.609207958865567,3.309631785810962,1.1846810492058037,4.776255355257826,3.4992888617779165,1.4759879934706106,3.473357710162589,2.1095237309541917,1.4123838323274158,1.9735987089402738,3.3520553111277858,4.82362122459393,2.7168831644710805,4.211748639315843,3.7243933553960797,3.8068122607124577,3.607210541114884,3.5515749692282528,4.87925638679418,3.2754662398148815,2.2237817633489416,2.598978302601639,3.9770793091520398,2.5870097504521525,4.1401232288954715,4.49114690747448,2.882115767257303,3.0860650462186534,1.9829667247103389,1.934711728463544,2.6153325546311494,2.9061992797191034,3.2497172694056107,2.6291897092360963,1.972216171833783
Creatine,3.0141,3.0261,2.6560104833053386,2.938725889811084,2.9073576326602613,3.929448971982309,3.263624972068893,2.92704493465847,2.7231979233966332,2.758887080585651,2.526672615685541,2.683057969550664,2.871919794035759,3.0530845003018574,4.2650273253149695,3.9465427078924438,3.986754728369029,3.241142541014476,3.4812057997500108,3.7533361169811537,14.249538778640595,3.2339938713056333,3.292787306468466,3.175371309849345,4.018641327075257,3.2312958289874305,1.6799866963136691,3.236299490824691,4.173337343158552,3.4776374381835464,3.4759041046154473,3.867416734703493,2.5257243885731326,3.168843830572916,2.957062226851187,2.9987296249670137,3.0749031939455675,4.016009644065289,3.2499777095168874,2.128456727260487,3.3239609160137067,2.568415720288165,2.461625380361536,2.3550574108592217,2.427124227528499,2.454836385121234,2.664382728452662,2.455512712491856,2.545813322169041,2.481058044920412,2.2412731128484524,3.763860396653551,2.2605331659917205,2.496603241747966
Ethanol,1.155,1.1982,16.44063054577648,24.974486632997447,26.662591170863745,20.696865123150722,63.182251578906914,16.632920007168785,31.849599426921706,35.66187415775098,18.843396174462406,23.71250414787383,9.890158665680003,6.5912379012964655,9.924186302952776,8.904741992152204,7.657094222569609,9.52862590170772,5.59492637745017,8.570094961555947,10.578369597919057,50.77117053332022,26.98644581543718,14.479554057038309,5.244566208786582,6.16796796851292,17.21991542272081,5.9150368428450095,6.733261035918364,4.321055741154963,16.42239831580497,10.830765133574756,6.366169076286658,9.650985212913096,7.239170106381039,6.495202866956001,7.06789322691103,5.766410765492644,7.245238595593957,6.8903386322213125,7.587306612715645,8.339615338248818,8.318018520727303,10.457255534366269,10.81539865767762,7.191954024994053,12.025207364312083,8.87582070671315,7.9914293198470165,6.2881779070225,8.699447147997496,8.636886654585467,6.544332012415595,6.398386407903654
Formate,8.4477,8.4693,0.0336994606340713,0.004685672589134145,0.03749704141034221,0.007351889338746376,0.03443360643909508,0.0030715092613537083,0.011410736877011642,0.037762988779405406,0.009911536967030166,0.02638233830995198,0.025554374222239985,0.002939568461787613,0.030778340411333843,0.013720943711060215,0.030595965590798906,0.003457218843120259,0.029933659675410458,0.03925089395180475,0.001809458434332685,0.031238566785845724,0.008973358402148636,0.005680391847770658,0.034135438550574354,0.006733744150080786,0.008159509479960473,0.03162482575053487,0.006045029616697906,0.02375072901552521,0.002302184156239688,0.03151440655260502,0.007618492045136483,0.02969469458971223,0.008427586841915016,0.03305778025155317,0.009780523437616935,0.027416908338464236,0.007208317336719847,0.04378873379397296,0.02298503013326092,0.004394237379852336,0.02887365768168751,0.006665824441625449,0.036786254233533836,0.00429256729674867,0.027831883439281516,0.009827807596641197,0.028549814764215864,0.005553876857916456,0.028867131890315534,0.0035209200579938565,0.007403009605317967,0.026865413655908017
Fumarate,6.4419,6.5715,0.06594573250195274,0.058966202011172336,0.07977434579910726,0.0676833495002059,0.05558527243742685,0.0683142069560041,0.0348470679898077,0.05080484588608503,0.04860646845644905,0.07903281491981277,0.12262798201666757,0.09541226361914522,0.16170961626058533,0.1683642140213936,0.14604455449756748,0.15387348036526688,0.10527476421914969,0.12621964705587496,0.05988786915345899,0.02289528343955563,0.05246554475672035,0.04422053747458013,0.03705393117367645,0.05709695330757124,0.04369029369657336,0.03251440653639141,0.019468380974893312,0.04014023175432367,0.058953685366759365,0.06426518649325484,0.041945105060579226,0.1031564812600195,0.07368519777001575,0.12285015212195663,0.06688566937657621,0.06978262550679706,0.08770648061732118,0.06407162521241433,0.06960129702126883,0.10192154103547288,0.07216126717651819,0.09261776648453005,0.10424385771413291,0.06858237805130198,0.08378297255538442,0.042874884927246594,0.08983110505237096,0.10114321233576423,0.0787684080776781,0.0680679339605104,0.09292168260071937,0.072695596501551
