metabolite,左侧值,右侧值,sample_1_对照组,sample_2_对照组,sample_3_对照组,sample_4_对照组,sample_5_对照组,sample_6_对照组,sample_7_对照组,sample_8_对照组,sample_9_对照组,sample_10_对照组,sample_11_铁死亡+牛硫磺补充组,sample_12_铁死亡+牛硫磺补充组,sample_13_铁死亡+牛硫磺补充组,sample_14_铁死亡+牛硫磺补充组,sample_15_铁死亡+牛硫磺补充组,sample_16_铁死亡+牛硫磺补充组,sample_17_铁死亡+牛硫磺补充组,sample_18_铁死亡+牛硫磺补充组,sample_19_铁死亡+牛硫磺补充组,sample_20_铁死亡+牛硫磺补充组,sample_21_铁死亡组,sample_22_铁死亡组,sample_23_铁死亡组,sample_24_铁死亡组,sample_25_铁死亡组,sample_26_铁死亡组,sample_27_铁死亡组,sample_28_铁死亡组,sample_29_铁死亡组,sample_30_铁死亡组
Glutamine,2.41965,2.4971,319982.01905782946,358795.15031830897,388861.65150223224,362399.96123035793,436538.557771848,414472.4373866883,347925.1945036798,302470.0317595891,339860.1482609211,368845.27108083235,214464.98182273714,222297.50034634396,157823.17776614448,139695.83563009265,138762.84854456777,156622.21204220626,156341.5235343863,199776.7125899311,216014.03480155813,208254.75604959193,447755.1501307643,462352.30700752814,465456.211981612,488336.16605834675,416724.7762458122,385129.4067123296,421771.9598825963,452924.50039769296,473395.6896132756,467611.385455611
Glutathione,2.9155,2.9559,40638.217530293135,32849.58834674326,53028.473561261904,33666.75810893286,22692.564699008486,19688.694183025284,25875.67847302883,51191.33380290857,62757.071366700715,41149.134939071286,12942.755349101844,18121.31819614715,15565.746493924235,20200.753781590152,20019.94108574063,15141.367620251125,19872.89899663012,13548.268735905742,12462.271877914616,14376.033568130693,4186.590603757582,9126.717258210223,11212.397917682705,9912.477035760588,9520.126432720277,10862.680752122862,9443.427581782154,12589.423694216632,8265.502752872622,11143.96164127783
Glycine,3.5571,3.5691,344353.0011210532,346584.5501227372,369912.46199793805,390787.6478949136,355320.88400598743,340300.98469003726,334574.9904608726,332386.31190733204,378469.6952817854,342234.0402735166,331648.87010414293,304900.4876039886,263424.14810643764,265801.524944552,265076.58121530386,294200.63953558356,288305.5869141729,272811.2799827214,280379.3959308749,301069.12144965347,325195.85019078903,337321.32792494725,332306.91398439603,368263.697341491,304826.66367222636,275157.45099874935,321474.98183080164,368009.7109145981,398631.99804009404,331120.15833889233
Histidine,7.0701,7.0753,722.1817578399225,830.4019784158144,0.0,1388.5031569519806,1780.4118137725409,2028.8475574122176,1496.5904091333023,0.0,0.0,1082.161437364855,0.0,0.0,30.712618736725368,6.087447494812405,0.0,0.0,229.64695111639023,1.0484865508762349,142.3863613394124,48.67371330582231,2499.894809019318,2262.2826365297146,2087.2892091680383,2196.4645014324806,1296.3762618701833,1250.932473439011,1749.6569767963617,1557.5823689456804,1824.2648533199551,2360.4517179092177
Isoleucine,1.0052,1.02363,19378.18491011123,22534.463167997907,23096.359231108036,26414.07630003152,34828.7348996251,32187.73960295482,25464.57891597708,19067.025776255217,35699.8638983092,21252.132661284246,36356.92496302675,19515.292722189115,15091.999857587314,15938.81287201149,14695.031878744383,20957.35009296242,17107.19226913903,22843.818689021526,27213.575764398374,20012.565946775823,54657.83749658469,54769.412484226414,51565.37548637633,49080.285656438355,43427.202116403554,39952.21807379489,38464.01029768268,47789.4082965304,48498.367155028965,46059.85048929168
Lactate,1.3208,1.3424,235226.84712467305,290464.6871994823,285831.31537959015,372930.7227277489,476112.2065920843,346968.0847817701,276765.1527224666,219076.77887896646,350986.5381472868,224913.9234634631,354610.55446923163,216420.3800812734,176828.60484086984,157448.52587008916,156724.06224938194,262477.687483727,200016.71293532776,344946.73166859045,434696.06968938565,281704.02564456564,644099.5891783821,663020.9538415738,554852.0572101395,486153.0606504613,437812.7283236926,386857.6876401219,386371.1410044573,564998.0983515289,578851.1718744662,534258.9247500362
Leucine,100.0,100.0,31540.831532147073,37084.174094325914,39428.965102424496,49408.87752424664,57866.06991939658,56636.6527324005,43782.34512519494,29683.729056114003,56622.563007398305,34207.74862078119,54933.80661882303,27931.63366093928,21366.978901190414,20945.66164160962,19978.393439660686,31140.391005759426,24274.37642122905,39128.89162625866,43855.29641956079,35352.9192236113,86148.10502902475,99365.61099753388,91229.82312079964,89202.80311882673,79000.87442322625,64363.499100993715,73157.8701054655,91232.76622745238,85386.07835665763,82708.17195633677
Lysine,100.0,100.0,14948.46965655826,15850.85606879896,35518.252589042466,14791.825166804749,24908.47105929101,24253.03635011632,17499.775575362943,25898.023385527275,43959.53609882924,13632.26678053391,18314.151235288344,15374.21015369314,5148.797967986323,3234.9174960212085,5569.476444330061,7199.11094225905,6957.694027007382,12080.976247914901,19277.051281207703,13648.77896907754,47026.52266766875,40967.10242582351,42442.44365916796,37713.75939360004,36166.01642711371,35070.34994411491,28761.54622997962,47849.03215312315,40412.37754376131,37722.07137179125
O-Phosphocholine,3.2195,3.2315,312844.879816856,299743.94355290424,316343.41748866485,290727.3809420757,309549.49660218984,299725.20302961883,288280.7839281067,311433.51597494807,320093.020556541,311582.822186618,334073.33080086875,342299.94066331675,314573.7700223824,332179.59057631984,333395.3699186628,332873.35785274254,351094.0941369975,327378.7851895571,327844.9193779217,331984.1858923258,351688.39060816454,333627.54332246125,338327.65068419976,329753.2123045617,350868.5170475195,336356.56607819896,311214.3807144212,305659.88229481276,311530.13679589995,351511.4472435135
Ornithine,100.0,100.0,37436.156428230024,39729.85865161277,29242.004304289156,30461.487691887683,46362.75710410195,51932.18325027854,49201.809998868135,27934.388046070806,34645.93235642908,42183.899463536014,21739.858118679804,25002.31330439487,21565.321510116242,22272.974441367944,22353.14563330636,21962.290520892013,20707.99041132432,20817.28570083574,24629.490345120976,25278.192141860156,50731.17450793658,44584.59781844051,47094.54758453099,49386.420793812795,49784.373299047045,44482.38974896503,42831.196009724925,51134.7805417239,51168.93831412282,53881.863121371774
Phenylalanine,7.3265,7.3465,8874.965535000963,8280.680750411597,6184.245295039967,12933.87758421365,14805.370627691622,14276.301188599164,10339.142131703922,4895.6872084589395,9009.376907290845,9554.246400183856,12367.479208900848,6777.402296759815,4995.987851847158,4265.914986284481,4584.510160872254,6838.976978131809,5801.7538688616005,6598.5370907681845,8770.757835717915,7639.684278186999,18977.8388038025,18686.362663285247,18527.19737525454,18223.57705238691,15458.558671541043,13569.840523063123,13904.971021861833,17755.816984474484,17100.978839118903,18847.286462867585
Proline,100.0,100.0,24508.162180433927,25357.465744829693,27761.521309468844,20847.29323834135,26777.03379163066,28146.10327948095,25798.93723500598,15641.190848835506,17241.202640090276,23102.441621109007,18131.397606313163,18741.758639551343,17585.785751997028,18369.904271213945,19011.80832562506,19348.0828051864,19738.149236491965,21398.257159206933,22099.413001656518,19406.731647871944,30452.623519084158,30440.49614959766,27200.33455948147,24587.787871439017,22501.429559054464,25050.94057507275,21850.399699760317,23662.270667612887,29272.74136011536,29158.939339285203
TSP,-0.009,0.0036,202448.67163267522,201936.26519458235,210357.1199946645,211179.9511749716,208191.89287183658,206416.91339810076,205786.35823589054,211792.31703380102,198029.15203714397,207482.12890531952,210687.29778066115,205501.73308396575,206974.19843871135,208991.98084234982,208408.06814724478,210285.09775980434,210046.55291772482,210069.15015143488,204244.0476495808,207043.561258967,205244.88810865788,209627.51376055216,206789.02424016874,210135.62282249882,213192.50300511305,206453.57746857035,213149.53776460426,210164.20216419382,204697.57268288956,210773.87330489626
Taurine,3.4093,3.4401,417980.204391009,409277.0995022118,420665.39430712885,384528.5281596789,447235.0939165052,425739.18048582476,393724.1615389848,388393.76396017335,425205.2788277281,431713.52089567954,1183793.035737222,1133949.208102791,1056792.6527715381,1080911.2422621911,1079619.0829798016,1134697.6755753623,1171849.899083622,1150665.3057743262,1124500.1295853842,1142048.9616074814,480409.0567546014,493332.1606019711,477422.2427046708,459123.34323647,446125.68405135226,417684.29806766903,415172.4544603445,452210.5460082032,460037.30148358556,476960.04771110375
Threonine,100.0,100.0,35403.88273766946,13705.555348432366,19372.38023188705,18927.221704936957,18453.68016479673,28829.6912162865,19514.098718228433,18113.402597796234,20510.546990883257,29831.54956870849,34742.56755256439,28104.501307489205,26109.763727518417,20202.427462731514,19161.466280273085,18019.10667835189,22643.307522046416,12948.51422848699,29894.35932330959,28881.584821209133,32369.133115440865,15797.890136486178,20527.953872825285,29088.38164266379,18841.558154914055,35693.42939650553,23276.570978203938,30273.956821268835,35878.29228120546,29133.914233809537
Tyrosine,6.8983,6.9137,5611.973679113774,6509.90911538006,3949.710851848509,11028.788004553156,11216.76599957241,10827.155360203084,8932.625381633048,0.0,5989.572203009486,7110.544984675527,8349.467376867797,4668.85363468999,2348.751096259813,2562.636707539494,3080.7489659377015,4066.449176717959,3330.4540025265514,4919.743844891328,6054.319272437709,5219.306184084715,13989.506240529376,13216.206022545122,14051.405932884385,13665.86057856817,11819.629615928037,10018.078553001378,10668.621563904333,13140.714428674895,13249.01240697711,15444.572901436088
Valine,1.03783,1.05563,24758.63357019456,29117.18472581392,30127.443045585544,38073.553781247494,44566.3006589641,41596.41132822255,33428.54797091273,24423.258574009393,43412.482014836954,26216.335348254983,49810.02550308394,28920.71305199714,24323.635004152016,23462.7971026582,23630.64615164632,26702.12358559485,20944.190839364026,28746.870342109123,32677.677219918896,25321.837167633643,64383.13812579326,64459.61075533898,58816.63813235623,56682.28617362032,51577.51127021807,46817.68339518567,43595.6162365101,53423.56039204949,55471.25915748334,50772.483926735746
beta-Alanine,3.1683,3.1961,28139.48069619694,20927.35966649168,50074.22820258753,22319.6355000752,20316.14663301022,18240.960284725577,17130.800123502948,44317.545091078995,64246.34706891999,28146.9409127206,0.0,55.050254968439056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23537.103508281234,21450.40610815282,23697.18075204276,24250.355464914937,21558.46142465,19200.79716490974,19114.94623537803,24633.305780981776,18433.671393673423,22271.107632953972
myo-Inositol,3.5259,3.5549,336591.01267341047,306418.5951682138,369862.5024952851,314828.9766412354,358287.5268599029,317358.298104813,302442.99246476765,355038.1577936199,413311.30448547,344822.6986684663,242308.0506974454,225507.07229001925,209166.34161168837,215820.01194760326,217843.77296908156,228055.1619806053,233063.02116974618,247318.87119701086,258087.45374389447,238150.6888943303,373930.0193446607,365638.8039760358,370651.20936126227,358112.39827391313,349158.64079121326,314797.87943326664,308979.21913448384,357796.78386865754,355304.9672947634,365830.8007749055
sn-Glycero-3-phosphocholine,3.2315,3.2457,125271.11709270357,109574.14418662697,71390.85649338047,85095.32509401263,133999.5678699581,123413.46778223255,121233.98053435786,80757.99324945154,93046.95463925373,122032.68462539984,93025.07618489781,67669.23553231885,80007.54357914468,95405.62089757023,97407.2945311574,88183.44185499754,90018.31972070967,88274.76772738053,84071.43401123393,91727.01589346907,133520.27686911728,122957.78268445913,130695.83003866333,96912.38328484555,128867.51064634562,120721.66043830648,82653.71633680424,83923.65512349056,87352.79285542623,122371.76829421106
