metabolite,peak,shifts,mod,upper,not_peak
3-Hydroxybutyrate,1.1874,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0110337303058797, 0.012093853917426149, 0.013236011473139029, 0.014275474240934853, 0.01587505941855374, 0.01773460592460513, 0.020204872712876517, 0.023786360757135364, 0.028526393586637288, 0.03352738200766178, 0.03914937433961213, 0.04322766192436786, 0.043990823493318815, 0.04240713386386853, 0.04070309200195731, 0.039528152575589975, 0.039595839933898, 0.04135881492049932, 0.04438777899266871, 0.04914632972043967, 0.055758539562073946, 0.06609473086050185, 0.08086909621986073, 0.10431833066318129, 0.13737660706897925, 0.19108294583376545, 0.2637917074220322, 0.3563016094095881, 0.4572655898887878, 0.5412273218812407, 0.5845851000000002, 0.5565597858085441, 0.47096824798462533, 0.36479376738102387, 0.2637016847239171, 0.1924569805419767, 0.1399202935248473, 0.10669034337105399, 0.08378809230011555, 0.06954984658564801, 0.059057311116163476, 0.05214683614315535, 0.04693262947886675, 0.04299600208358085, 0.040030799990531225, 0.03799987980840903, 0.03699128259102523, 0.03677548481479383, 0.03740058349192792, 0.038788605095267936, 0.04053757680066762, 0.0426316560319931, 0.044635554102019116, 0.04674661859065708, 0.04921302199670477, 0.05276514947068733, 0.05757146179706341, 0.06522767275059616, 0.07581597809637688, 0.09133142524005101, 0.11493727924773417, 0.15290801911323376, 0.20725589247486353, 0.2845007311341324, 0.3792028117177912, 0.4755855655735689, 0.5591734644433729, 0.5888670695162584, 0.5505895119432471, 0.45928326978381495, 0.34689361662544543, 0.2546930196892073, 0.18096021685821034, 0.1334837434176376, 0.10127415886527301, 0.0800455357918046, 0.06529638249069852, 0.055791090432483384, 0.04811308537422114, 0.04207968775379192, 0.03724498791159011, 0.032667817432320216, 0.028598625675733874, 0.025496297228013023, 0.02274119389394428, 0.02030905260146456, 0.018834815109645096, 0.017662088799540204, 0.016615261890773593, 0.016053950634092498, 0.015792637375824106, 0.015254609504841263, 0.014799394309110512, 0.014505987152125976, 0.014155349322737187, 0.013821319055039699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0.002808141773013556, 0.07837960143122813, -0.008737960944148943, 0.03020232593058883, -0.01823032639839353, 0.001978195833223423, 0.0696570172113217, 0.09958470951821316, -0.009397095553981188, 0.13085631739529244, 0.09023249908449185, 0.11749536164686172, 0.1581460190221071, 0.10527938766213754, 0.09191125638754785, 0.07097587506647246, 0.09757391052531092, 0.0873258857513027, -0.005354644314922025, 0.11150433512581062, 0.09603185728478955, 0.0629153248970481, 0.06345364273926307, 0.07189553847642313, 0.0328847722397175, -0.017217755111279293, 0.029174576991857104, -0.021611791316230172, -0.051663495575927046]",1.1957
ATP,6.1519,"[0, -2, 4, 1, 0, -1, -1, 3, 2, 1, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 1, 1, -2, 0, 0, -3, 0]",0,"[0, -0.016284690297247932, -0.030135403893208214, -0.005683053470023894, 0.0009236987008321733, -0.009308795516163544, -0.0055827886050349015, -0.020138888538439394, -0.03397219745512878, -0.004051498952953235, -0.023501963532118312, -0.003118976311869046, -0.02556615031726174, -0.01984970072290651, -0.03176386767142226, -0.027230259646123335, -0.012239237400964983, -0.02726773710984058, -0.021883756299816298, -0.018603200526406235, -0.01317925373816465, -0.017270644024812012, -0.005278476770858948, -0.0009790630423810011, -0.011963985157428445, -0.013581253896197236, -0.01025387204671897, -0.01035289314889946, -0.0031973577270037615, -0.005360899817102018]",0.0
Acetate,1.9202,"[0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, -1, 1, 0, 0, 0]",0,"[0, -0.018693148384717004, 0.020343683097760856, -0.013376282150773838, -0.01686324565393633, -0.018953705240030698, -0.026733653073300067, 0.016750112545678722, 0.03434573084405451, -0.015562335022165589, -0.012478833108444831, -0.00810633468797203, -0.015859543363187352, -0.023143875223146395, -0.015938324435676367, -0.016204219427202203, -0.017220643827008723, -0.013779734936666826, -0.0002890399436536739, -0.011844742650850375, 0.001678578713948324, -0.012028357655883375, -0.012312929201967433, -0.013508802917281855, -0.01510326482337486, -0.01912187013413206, -0.017481358172183138, -0.012838849978380775, -0.019974282451719793, -0.00967003633381507]",0.0
Alanine,1.48,"[0, 0, 3, 2, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, -1, 1, 1, -1, 1]",0,"[0, 0.00580242319357769, 0.015194925453726926, 0.0027600803885737893, 0.0003187585680748603, 0.0017327555311043366, 0.00010095585281461386, 0.00613481884970327, 0.01652558698386229, 0.002490048870305822, 0.006392226179167827, 0.0021694282395782784, -0.0016466353442439845, -0.004789397260205667, -0.0031325823978221763, -0.0025730219584186413, -0.0019772689302785425, -0.0005245286469161316, -0.0008281041947720801, 0.00011680046946390549, 0.01249325190283589, 0.013683512064026852, 0.013291970662721395, 0.010570965142368261, 0.005360238753969349, 0.0071022493794608565, 0.006292273010843966, 0.01120395142159784, 0.008440971969147785, 0.005248452060325315]",0.0
Aspartate,2.8042,"[0, 0, 1, -1, -2, 0, -2, -1, 1, -1, -1, 1, 0, 0, -1, -1, -2, 0, 0, -1, 0, -1, -1, -1, -3, -1, -2, -1, -1, -1]",0,"[0, -0.06762559466074732, 0.01387662971524177, -0.033988370150810965, -0.00791963550833448, -0.03302021542091331, -0.05387590902220525, 0.02961877317964482, 0.04167854518035177, -0.018718427219754072, -0.059961340319308734, -0.052373700452378144, -0.03727735688210067, -0.01801931249419382, -0.0126297854172331, -0.04152004883350498, -0.016073389425150825, -0.06798572647554378, -0.035388334892947446, -0.046810813378648244, -0.01936515475513742, -0.06770279888959309, -0.04554835025111004, -0.030569771181507416, -0.04012804901983577, -0.03334281768749803, -0.02866790257514515, -0.03629869744134663, -0.07927371090136225, -0.018406893676361197]",0.0
Choline,3.20945,"[0, -1, 3, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, 1, 0, -1, 1]",0,"[0, -0.06274912678266914, 0.10794805459071097, -0.04613810125949985, -0.04340462504771439, -0.07798401665971486, -0.05492644257558857, 0.07713144466435631, 0.1683455056307956, -0.01647466565678854, -0.06090019327918106, -0.026527085450954974, -0.04390585988668402, -0.03523151293436805, -0.01515461583539407, -0.0501603253764506, -0.03242058835606551, -0.06811395793761224, -0.02541564004296082, -0.03324622117060605, -0.04744252361501952, -0.07768749379254722, -0.04849529750156209, -0.06134626749869143, -0.048647960150275726, -0.036129110638731504, -0.06691448451898893, -0.021112672831881785, -0.0924534093615337, -0.06207128883334942]",0.0
Creatine,3.9341,"[0, -1, 3, 1, 0, -1, -1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 1, 0, 1, 2, -1, 1, 1, -1, 1]",0,"[0, -0.01366193393504031, -0.016171028753483474, -0.019563124935707416, 0.03122249535295904, 0.018209664610604415, -0.019903138169858503, -0.02814968758188624, -0.008866493468813186, -0.0008470746036813304, 0.016053696478653207, -0.008810335146235443, -0.023957564007174748, -0.010381355900887318, -0.011576736822817957, -0.01974712863967487, -0.0022212157278541644, 0.009488802388023743, 0.02072043828442438, -0.004142114928938012, 0.06761354255133592, 0.060602623765248276, 0.05429834955850518, 0.031329822850433814, 0.02320374818794102, 0.004501987150890813, -0.00465998207077864, 0.003453587763007998, 0.007610685159585684, 0.04795021980318473]",0.0
Creatine phosphate,3.9523,"[0, -1, 3, 1, 0, -1, -1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 1, 0, 1, 2, -1, 1, 1, -1, 1]",0,"[0, 0.009035075687979142, -0.012318936473946183, 0.010590356782233343, 0.016103059314845097, 0.014398562880163723, 0.009869468544527471, -0.0208372997036117, -0.01998817868627207, 0.0008340939632489955, -0.0004791907056079167, -0.009810900382766018, -0.008913868383168155, -0.01044343331133657, -0.011909920038519671, -0.0034181748825218433, -0.004331200556801744, 5.888964185842005e-05, 0.002595355965990309, 5.4478317761563755e-05, 0.02316532299527238, 0.0210366331152973, 0.019693257917134818, 0.01899270229830828, 0.01859936064381365, 0.014691440739918349, 0.01167834888822758, 0.016710886158959284, 0.0308143251377824, 0.02909051487425174]",0.0
Glucose,4.6471,"[0, -2, 3, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 1, 0, 2, 3, -1, 1, 2, 0, 1]",0,"[0, 0.14160430404167323, -0.3296141312446978, 0.05347759170293337, -0.019422742088425815, 0.1134645962269955, 0.1375646682207704, -0.30443959988625635, -0.40025952768703893, 0.03752789036184717, -0.032778446926004845, -0.07504115004044032, -0.04178182048006185, -0.05672749831888968, -0.07204987972609628, -0.06739759205006618, -0.049583652151792945, -0.07985903923489418, -0.116243859204777, -0.15586396265110733, -0.06502704847802254, -0.12158538885709663, -0.06530539715453237, 0.012050110574965411, 0.004331765140144439, -0.042114366077731835, 0.005439564212589676, -0.1325220820158512, -0.019829773451405464, -0.03826271517535251]",0.0
Glutamate,2.34284,"[0, 1, 2, 0, -2, 0, -2, 0, 1, 0, 0, 1, 0, 0, -1, -1, -1, 0, 0, -1, 0, 0, 0, -1, -2, -1, -1, -1, -1, -1]",0,"[0, -0.018990164996459596, 0.009794534239601985, -0.016370079418481197, -0.008434795161934655, -0.01516105175429329, -0.019640356633665697, 0.010851007545126301, 0.016420685663122166, -0.008725486109434147, 0.000596017666083179, 0.0007732107548077752, 0.009326196343532031, -0.006431713651162511, 0.0016484772955052823, 0.0013655047284884467, -0.0035291302199144323, -0.012043775268355539, -0.012456156028594463, -0.023615871094713012, 0.0016104053783356498, -0.0024490446057936627, -0.005697323383448506, -0.014659189199353162, -0.010304533552416444, -0.013025528796209329, -0.01827674776656609, -0.014135673286623879, -0.019884590323160332, -0.007910463596234305]",0.0
