metabolite,peak
3-Hydroxybutyrate,1.1596
Acetate,1.9024
Alanine,1.4594
Allantoin,5.376
Butyrate,2.1108
Citrate,2.508
Creatine,3.0213
Ethanol,1.1796
Formate,8.459
Fumarate,6.5037
Glucose,4.6277
Glutamine,2.431
Glycerol,3.63
Glycine,3.5434
Histidine,7.0455
Isoleucine,0.9908
Lactate,1.309
Leucine,0.937
Lysine,1.7154
Methionine,2.628
Phenylalanine,7.4107
Pyruvate,2.356
Succinate,2.3888
Threonine,3.5978
Trimethylamine,2.8458
Tyrosine,6.8771
UDP-N-Acetylglucosamine,2.0728
Valine,1.0226
